update,timesteps,completed_episodes,mean_completed_return,partial_return,policy_loss,value_loss,entropy
189,387072,3,879.462476724983,739.9118775998037,-0.009410028014099226,4.635916063189507,2.9220175415277483
190,389120,4,818.5226787384855,4.381592701656807,-0.00958771632576827,35.53733277320862,2.917452651262283
191,391168,5,494.44379308821397,64.07944054064582,-0.011400162149220705,84.7675755262375,2.9267478764057158
192,393216,4,542.038699184714,659.838651516308,-0.012497816269751638,37.233871734142305,2.934186005592346
193,395264,3,992.8235493114292,167.50154269944113,-0.01097510834224522,5.831274747848511,2.9318169713020326
194,397312,5,464.90130170444183,416.35173472305405,-0.0041452472913078965,89.94973659515381,2.93136967420578
195,399360,5,585.2671994380498,38.72920310585725,-0.01755583136691712,29.34350472688675,2.931626769900322
196,401408,4,471.3075802424371,804.2317635972375,-0.012729112134547905,42.331026166677475,2.9332947462797163
197,403456,4,744.8868280456524,235.4334397075128,-0.010330512921791523,55.441863882541654,2.9381053924560545
198,405504,3,704.2613001170729,828.1984669185596,-0.011029766011051833,42.14524945616722,2.9362876415252686
199,407552,3,805.4422248586429,965.9102871347562,-0.0146960990736261,8.82960941195488,2.9366007089614867
200,409600,5,698.9457808247685,60.17287683669835,-0.019215620483737438,21.72069278359413,2.927425187826157
201,411648,3,849.4389849806054,124.07000614832195,-0.004953664890490472,10.127521279454232,2.9114964216947556
202,413696,7,406.80990894933313,29.956913227848336,-0.00814707115641795,222.758224773407,2.9124531537294387
203,415744,4,506.5606246771652,454.2468272662858,-0.014380312990397215,61.253606903553006,2.91303933262825
204,417792,4,763.7100431973013,157.89228847183475,-0.011229956417810171,61.53903248310089,2.9089908480644224
205,419840,3,752.5893403552385,525.6925366464437,-0.011063451023073868,34.70327861011028,2.9105291843414305
206,421888,4,753.2816512805553,151.29790664763127,-0.015341134491609409,71.92028685212135,2.905571159720421
207,423936,5,452.89626459258926,635.2700942130157,-0.015139226667815819,115.52569479942322,2.900382363796234
208,425984,7,467.2865116583675,8.30196131245838,-0.01070368665677961,121.52874028682709,2.898964726924896
209,428032,4,432.76742642812815,723.6434907135456,-0.01880762331711594,100.86583791971206,2.8971983432769775
210,430080,7,402.13498759653004,485.0265961104621,-0.01645278797368519,99.9556554555893,2.8924123495817184
211,432128,6,404.6827587223698,679.4956347328981,-0.011485272203572094,83.2363336801529,2.892776358127594
212,434176,7,471.64505794426975,62.559630860754986,-0.014057015444268472,97.3393625497818,2.885317388176918
213,436224,3,847.5676566097253,241.72836176087006,-0.005913952106493525,8.868461473286152,2.8709002494812013
214,438272,4,657.3603934505445,356.4182992271183,0.005180201755138114,54.115417152643204,2.8465243726968765
215,440320,3,827.607334747354,487.2826733414787,-0.012061527697369456,19.82994955778122,2.8436644047498705
216,442368,4,652.4897878235872,464.91743524653333,-0.015398887672927231,162.41894421577453,2.8405542731285096
217,444416,5,539.9471233735499,402.4474155866778,-0.020206761214649305,12.12682774066925,2.8440078854560853
218,446464,3,685.0307554125219,1056.03745402588,-0.006307567696785555,30.60614921450615,2.836963677406311
219,448512,7,481.14361292829847,399.42711156592674,-0.015580396458972245,117.1575217962265,2.8387168288230895
220,450560,5,537.658176321962,406.5575165003665,-0.013577032083412632,90.58923604488373,2.847242745757103
221,452608,5,446.32979933309616,735.973567231471,-0.014677278063027188,61.16107318401337,2.8571245223283768
222,454656,5,684.3340274796077,115.85591715520675,-0.0024672946194186805,12.44651184976101,2.862653914093971
223,456704,3,735.5348721912978,751.4405098696561,-0.009406761592254042,5.600234740972519,2.8972153842449186
224,458752,3,890.5890381792115,808.9304226426547,-0.009817880275659264,7.635816043615341,2.9328524500131605
225,460800,5,627.3370686835785,350.736256061473,-0.013030256345518864,145.78296135663987,2.9394157320261
226,462848,5,544.7008345660922,274.27989494975657,-0.016737037664279343,78.32462503910065,2.9442706823349
227,464896,3,891.403318513494,340.4821645850761,-0.014053671440342442,58.064765179157256,2.944938549399376
228,466944,6,432.0447188683093,409.55321195118955,-0.014594184060115367,94.6443581700325,2.9438243329524996
229,468992,5,471.32292780649504,500.171465915399,-0.018018050972023046,98.22054743766785,2.9368766993284225
230,471040,4,560.4850921731495,700.1777477923583,-0.014346124714938924,60.594019818305966,2.923370283842087
231,473088,4,701.3076810140207,546.4328083693234,-0.013607454433804378,47.611699402332306,2.902384155988693
232,475136,5,631.7621058707671,14.074476914104496,-0.01658105521928519,132.1530924320221,2.908155918121338
233,477184,3,900.303242980951,102.5916184082802,-0.015188430692069233,17.1903514534235,2.906613993644714
234,479232,4,631.8121932060981,166.1738518800949,-0.014365828825975768,36.02787858247757,2.898003286123276
235,481280,4,662.0715844190248,220.82624155179403,-0.01259764253627509,58.567997777462004,2.8885033309459685
236,483328,3,852.072890625,408.28271763992694,-0.008446746662957593,8.757278943061829,2.8743076771497726
237,485376,6,456.6475659682848,211.818507359727,-0.004175128118367866,122.87327587604523,2.856409582495689
238,487424,2,1019.5533207752433,807.5940062452606,-0.0006683874642476439,9.696174140274525,2.8580094665288924
239,489472,4,788.4133377564522,248.22127162710086,-0.005662046757061034,53.96400853395462,2.8572507590055465
240,491520,4,501.3141129850647,825.9832725610206,-0.012778611882822588,72.4726589679718,2.866406100988388
241,493568,4,730.7205879223017,608.3653916093953,-0.008618654654128477,46.34701429009438,2.8630884498357774
242,495616,4,585.2390783109134,997.9761391255141,-0.01626704289810732,54.62293223142624,2.8641429275274275
243,497664,3,920.953949855681,589.195174744782,-0.009863404650241136,7.534873738884926,2.8648525714874267
244,499712,3,841.2810156579303,825.647184579266,0.0015702826669439674,72.10103721618653,2.8656918108463287
245,501760,4,782.7982131977263,452.0846778550944,-0.013689274352509528,91.5726667523384,2.872659942507744
246,503808,3,854.0060635545778,572.1410397448077,-0.014265339239500463,27.27206908464432,2.871422824263573
247,505856,3,1066.189506045399,92.24256115855106,0.00131762441014871,7.455911007523537,2.8744403064250945
248,507904,4,452.18458422798807,1043.3455868073588,0.004501597594935447,152.758948802948,2.8981028109788896
249,509952,4,893.8771688743518,159.3527998733494,-0.01218726504012011,10.032436099648475,2.8889868378639223
250,512000,4,583.9844134675125,220.0330826032455,-0.011890453769592569,9.744185948371888,2.8699482083320618
251,514048,2,1050.1572574226411,832.2973633372486,-0.0021946191031020136,4.3640338510274885,2.854110586643219
252,516096,6,548.9045971107785,203.30002750865043,-0.006112972798291594,161.70566334724427,2.8463568836450577
253,518144,7,370.8242549976185,263.1325712422407,-0.013663216651184484,157.64636783599855,2.8453871995210647
254,520192,3,679.2181527853933,931.2350504346434,-0.013680584842222742,31.719821533560754,2.850983610749245
255,522240,5,682.5882713584119,63.98282671308547,-0.01013853313634172,74.31556635499001,2.855831190943718
256,524288,8,337.13260215216485,73.69460544033268,-0.009406016379944048,276.53406143188477,2.862290805578232
257,526336,6,400.6912436837459,381.9754776859419,-0.017695249564712866,76.43938360214233,2.8644799530506133
258,528384,3,647.9686411283828,972.5405982601076,-0.01079865767096635,27.31452033519745,2.8660962134599686
259,530432,4,864.5250274637617,191.782251091577,-0.014308613463072106,19.019176426529885,2.8658740162849425
260,532480,4,523.6303457418841,882.935519107961,-0.014993351162411272,34.65318475961685,2.8700410693883898
261,534528,6,399.8271277860437,828.7906482201065,-0.0164380572270602,125.02745674848556,2.875035214424133
262,536576,5,696.4113979616471,76.06886789540538,-0.014082044886890799,64.42279766798019,2.8715093076229095
263,538624,6,344.9120717374756,806.7301402138918,-0.014083102555014193,113.01426491737365,2.862633240222931
264,540672,4,790.0590055776258,274.3005069048019,-0.013096444922848605,60.81143560409546,2.8611944377422334
265,542720,4,651.7679604100468,134.38512785797818,-0.01245232515502721,14.570804339647292,2.862254023551941
266,544768,2,910.2506592687339,891.947147858886,-0.014188726636348292,39.30522068738937,2.8719089895486833
267,546816,5,702.4074306929015,104.0854861447136,-0.013287191453855485,37.8321037530899,2.874327743053436
268,548864,3,679.8113944380287,514.7442292318851,-0.015853897714987398,15.004815053939819,2.8705063313245773
269,550912,5,463.82125002516585,808.8250415338741,-0.014252646139357238,120.46850936412811,2.860445353388786
270,552960,8,386.0711440969736,62.94651555398633,-0.01806460090447217,119.19710373878479,2.853600835800171
271,555008,5,488.51201808564656,148.3091610650271,-0.013705238013062625,88.86167345046997,2.847165858745575
272,557056,3,665.4964911782297,872.1292506788812,-0.0062717797874938695,9.828882962465286,2.82781004011631
273,559104,4,812.5930762537353,226.9521338031952,-0.011680141868419014,17.731575703620912,2.8058452516794206
1,2048,5,233.32741560436352,92.88916191053143,-0.011728068464435637,185.4690382003784,2.9315212279558183
2,4096,7,104.71843932437923,234.17860946918762,-0.011348946299403907,125.55516490936279,2.926321855187416
